churn,age,gender,dependents,prod_ct,mo_on_book,mo_inactive_r12,contr_ct_r12,revbal_avg_r12,credlim_avg_r12,opentobuy_avg_r12,utilratio_avg,tx_amt_r12,tx_ct_r12,chng_tx_amt_q4_q1,chng_tx_ct_q4_q1,marstat_Divorced,marstat_Married,marstat_Single,marstat_Unknown,card_Blue,card_Gold,card_Platinum,card_Silver,educ,inc,tx_amt_pertx_r12
1,62,0,0,2,49,3,3,0.0,1438.3,1438.3,0.0,692.0,16,1.047,0.6,0,1,0,0,1,0,0,0,3,1,43.25
0,41,1,3,4,33,2,1,680.0,4470.0,3790.0,0.152,931.0,18,1.608,1.571,0,1,0,0,1,0,0,0,1,2,51.72222222222222
0,47,0,4,3,36,3,2,1560.0,2492.0,932.0,0.626,1126.0,23,0.573,0.353,0,0,1,0,1,0,0,0,0,1,48.95652173913044
0,54,1,2,4,42,2,3,0.0,12217.0,12217.0,0.0,1110.0,21,1.075,0.75,0,1,0,0,1,0,0,0,0,4,52.857142857142854
0,41,0,3,6,28,1,2,1669.0,7768.0,6099.0,0.215,1051.0,22,0.797,0.833,0,0,1,0,1,0,0,0,3,1,47.77272727272727
0,59,1,1,4,46,1,2,1374.0,14784.0,13410.0,0.093,1197.0,23,0.921,1.3,0,0,0,1,1,0,0,0,1,2,52.04347826086956
0,63,1,1,3,56,3,2,1010.0,10215.0,9205.0,0.099,1904.0,40,0.843,1.0,0,1,0,0,1,0,0,0,0,3,47.6
0,44,0,3,5,34,2,2,0.0,10100.0,10100.0,0.0,1052.0,18,0.525,1.571,0,0,1,0,1,0,0,0,0,0,58.44444444444444
0,47,1,4,6,42,0,0,1362.0,4785.0,3423.0,0.285,1045.0,38,0.739,0.9,0,1,0,0,1,0,0,0,1,2,27.5
0,53,1,3,3,33,2,3,1811.0,2753.0,942.0,0.658,1038.0,25,0.977,2.571,0,1,0,0,1,0,0,0,0,4,41.52
0,53,1,2,2,48,5,1,1690.0,2451.0,761.0,0.69,1596.0,26,1.323,1.6,0,1,0,0,1,0,0,0,0,3,61.38461538461539
0,41,1,4,4,36,1,2,2517.0,8923.0,6406.0,0.282,1589.0,24,1.726,1.667,0,1,0,0,1,0,0,0,3,3,66.20833333333333
0,53,0,2,5,38,2,3,1490.0,2650.0,1160.0,0.562,1411.0,28,1.75,1.0,0,1,0,0,1,0,0,0,2,1,50.392857142857146
0,58,1,0,6,49,2,2,1696.0,12555.0,10859.0,0.135,1291.0,24,0.519,0.714,0,1,0,0,1,0,0,0,3,4,53.791666666666664
0,55,0,1,4,36,2,1,1914.0,3520.0,1606.0,0.544,1407.0,43,0.51,0.483,0,0,1,0,1,0,0,0,2,1,32.72093023255814
0,55,0,3,6,36,2,3,2298.0,3035.0,737.0,0.757,1877.0,37,1.724,1.176,0,1,0,0,1,0,0,0,3,1,50.729729729729726
0,42,0,4,2,36,3,3,0.0,15433.0,15433.0,0.0,966.0,22,0.865,1.2,0,1,0,0,0,1,0,0,1,1,43.90909090909091
0,57,0,1,3,49,3,2,886.0,3672.0,2786.0,0.241,1464.0,28,1.32,0.556,0,0,0,1,1,0,0,0,3,2,52.285714285714285
1,66,0,0,5,56,4,3,605.0,7882.0,7277.0,0.077,704.0,16,1.052,0.143,0,1,0,0,1,0,0,0,5,0,44.0
0,45,1,3,2,41,2,2,578.0,32426.0,31848.0,0.018,1109.0,28,1.042,0.474,0,0,1,0,1,0,0,0,3,4,39.607142857142854
0,51,1,2,4,44,1,0,2204.0,6205.0,4001.0,0.355,1347.0,28,0.803,0.556,0,1,0,0,1,0,0,0,0,2,48.107142857142854
0,50,0,1,3,43,2,3,2517.0,17304.0,14787.0,0.145,1756.0,33,1.449,1.2,0,0,1,0,0,0,0,1,2,2,53.21212121212121
0,49,1,3,5,37,2,1,0.0,3906.0,3906.0,0.0,1756.0,32,1.214,1.0,0,1,0,0,1,0,0,0,1,3,54.875
0,38,0,4,2,28,3,3,2055.0,9830.0,7775.0,0.209,1042.0,23,0.977,0.917,0,0,1,0,1,0,0,0,3,0,45.30434782608695
0,49,1,4,3,30,2,3,0.0,34516.0,34516.0,0.0,1444.0,28,1.621,1.333,0,0,1,0,1,0,0,0,0,4,51.57142857142857
0,56,1,2,6,45,2,0,1430.0,2283.0,853.0,0.626,1741.0,27,2.316,0.588,0,1,0,0,1,0,0,0,5,3,64.48148148148148
0,59,1,1,3,52,2,2,2020.0,2548.0,528.0,0.793,1719.0,27,2.357,1.7,0,1,0,0,1,0,0,0,5,2,63.666666666666664
0,46,1,3,4,40,3,3,1435.0,19458.0,18023.0,0.074,1217.0,27,0.787,0.8,0,1,0,0,1,0,0,0,1,4,45.074074074074076
0,52,1,1,5,40,1,1,1227.0,4745.0,3518.0,0.259,1140.0,40,0.624,0.6,0,0,1,0,1,0,0,0,2,4,28.5
0,52,0,3,6,41,3,2,1549.0,2622.0,1073.0,0.591,1878.0,30,1.321,1.143,0,1,0,0,1,0,0,0,0,1,62.6
1,54,0,1,2,40,3,1,808.0,1438.3,630.3,0.562,705.0,19,0.997,0.9,0,1,0,0,1,0,0,0,3,1,37.10526315789474
0,66,0,0,3,54,4,2,2179.0,3171.0,992.0,0.687,1946.0,38,1.224,1.923,0,1,0,0,1,0,0,0,1,1,51.21052631578947
0,49,1,2,4,36,2,0,2517.0,19763.0,17246.0,0.127,1414.0,35,0.664,0.25,0,1,0,0,1,0,0,0,0,5,40.4
1,56,1,2,1,36,3,3,0.0,15769.0,15769.0,0.0,602.0,15,1.041,0.364,0,1,0,0,1,0,0,0,3,5,40.13333333333333
0,49,0,4,6,36,4,2,2200.0,3298.0,1098.0,0.667,1052.0,32,0.678,0.6,0,0,0,1,1,0,0,0,3,1,32.875
0,49,0,3,2,36,2,0,2363.0,2802.0,439.0,0.843,1295.0,40,0.75,0.6,0,0,1,0,1,0,0,0,3,1,32.375
0,56,1,2,4,50,2,3,1880.0,4458.0,2578.0,0.422,1424.0,29,1.107,1.417,0,1,0,0,1,0,0,0,0,2,49.10344827586207
0,44,0,5,4,35,1,2,978.0,6273.0,5295.0,0.156,1359.0,25,2.275,1.083,0,1,0,0,1,0,0,0,3,0,54.36
0,42,1,2,4,34,4,3,1753.0,3336.0,1583.0,0.525,1168.0,27,0.69,1.25,0,0,1,0,1,0,0,0,1,3,43.25925925925926
0,55,1,3,4,47,2,3,2016.0,3436.0,1420.0,0.587,1097.0,33,0.901,0.833,0,1,0,0,1,0,0,0,0,4,33.24242424242424
1,48,1,2,2,35,4,4,0.0,34516.0,34516.0,0.0,691.0,15,0.763,0.5,0,1,0,0,0,0,0,1,3,3,46.06666666666667
0,39,1,1,5,33,3,3,1251.0,5926.0,4675.0,0.211,1316.0,28,0.944,1.154,1,0,0,0,1,0,0,0,1,3,47.0
0,44,1,4,2,32,4,2,2102.0,23957.0,21855.0,0.088,1276.0,26,0.997,0.733,0,0,1,0,1,0,0,0,4,5,49.07692307692308
0,53,1,2,4,44,2,2,1634.0,14734.0,13100.0,0.111,1289.0,23,0.989,0.917,0,0,1,0,1,0,0,0,1,5,56.04347826086956
0,51,1,4,4,38,1,4,1515.0,34516.0,33001.0,0.044,1293.0,32,0.592,0.6,0,0,1,0,0,0,0,1,0,4,40.40625
0,57,1,2,5,52,3,3,1817.0,6584.0,4767.0,0.276,1353.0,35,0.62,0.667,0,1,0,0,1,0,0,0,2,3,38.65714285714286
0,44,0,2,6,20,3,3,1468.0,2084.0,616.0,0.704,1132.0,28,1.004,0.556,0,0,1,0,1,0,0,0,0,1,40.42857142857143
0,49,1,2,2,32,2,2,1107.0,1687.0,580.0,0.656,1670.0,17,1.715,2.4,0,1,0,0,1,0,0,0,3,3,98.23529411764706
0,50,1,2,6,38,2,2,1330.0,25300.0,23970.0,0.053,837.0,15,1.072,2.0,0,1,0,0,1,0,0,0,5,4,55.8
0,51,1,4,3,42,2,3,1763.0,34516.0,32753.0,0.051,1550.0,41,1.266,1.05,0,0,1,0,1,0,0,0,3,5,37.80487804878049
0,55,0,2,5,42,3,3,1034.0,2216.0,1182.0,0.467,1540.0,36,0.758,0.286,0,1,0,0,1,0,0,0,3,1,42.77777777777778
0,54,1,1,4,43,2,3,2030.0,2910.0,880.0,0.698,1256.0,21,0.769,0.4,0,0,0,1,1,0,0,0,3,3,59.80952380952381
0,42,1,5,6,37,2,2,1528.0,22913.0,21385.0,0.067,1394.0,35,0.414,0.522,0,1,0,0,1,0,0,0,0,4,39.82857142857143
0,44,1,1,3,35,3,3,1932.0,24312.0,22380.0,0.079,1341.0,24,1.312,1.182,0,0,1,0,1,0,0,0,2,3,55.875
0,53,1,2,5,36,3,2,1515.0,5272.0,3757.0,0.287,1289.0,33,0.857,0.435,0,0,1,0,1,0,0,0,3,4,39.06060606060606
0,44,0,4,6,36,4,2,2517.0,7000.0,4483.0,0.36,1112.0,23,0.475,1.875,0,0,1,0,1,0,0,0,3,1,48.34782608695652
0,37,0,3,4,29,4,2,1801.0,7038.0,5237.0,0.256,2339.0,57,0.751,0.966,0,0,1,0,1,0,0,0,0,1,41.03508771929825
0,49,1,3,6,30,1,2,1823.0,2536.0,713.0,0.719,1468.0,23,0.703,0.353,1,0,0,0,1,0,0,0,3,3,63.82608695652174
0,47,1,2,6,38,3,2,1899.0,28904.0,27005.0,0.066,1334.0,35,0.85,0.4,0,1,0,0,1,0,0,0,3,4,38.114285714285714
0,47,1,3,4,37,4,0,1695.0,8567.0,6872.0,0.198,1457.0,41,1.242,1.412,0,1,0,0,1,0,0,0,3,3,35.53658536585366
0,44,1,1,6,36,2,2,1533.0,34516.0,32983.0,0.044,1603.0,29,0.924,0.526,0,0,0,1,1,0,0,0,0,5,55.275862068965516
1,55,0,4,2,45,4,3,0.0,2158.0,2158.0,0.0,615.0,12,0.585,0.714,0,1,0,0,1,0,0,0,0,2,51.25
0,59,0,1,2,52,3,3,1417.0,10133.0,8716.0,0.14,1068.0,20,0.383,0.818,0,1,0,0,1,0,0,0,3,0,53.4
0,53,1,1,5,35,4,2,1219.0,34516.0,33297.0,0.035,1590.0,27,1.129,2.0,1,0,0,0,1,0,0,0,3,4,58.888888888888886
0,52,1,2,5,47,3,0,1910.0,3085.0,1175.0,0.619,1531.0,35,0.921,0.667,0,1,0,0,1,0,0,0,3,3,43.74285714285714
0,53,1,2,4,35,2,1,2056.0,19040.0,16984.0,0.108,1212.0,31,0.607,0.722,0,0,1,0,1,0,0,0,1,5,39.096774193548384
0,43,0,3,5,35,2,3,0.0,4026.0,4026.0,0.0,1237.0,32,0.483,0.6,0,0,1,0,1,0,0,0,0,1,38.65625
0,44,1,3,4,31,3,1,837.0,12756.0,11919.0,0.066,1413.0,14,1.932,1.8,0,0,1,0,1,0,0,0,1,3,100.92857142857143
0,57,1,2,5,45,3,3,0.0,5266.0,5266.0,0.0,1516.0,29,1.702,1.636,0,1,0,0,1,0,0,0,0,5,52.275862068965516
0,51,0,2,3,36,2,2,0.0,9930.0,9930.0,0.0,1276.0,21,0.731,1.333,0,0,1,0,1,0,0,0,1,1,60.76190476190476
0,49,1,4,4,38,3,0,1953.0,31302.0,29349.0,0.062,1564.0,35,0.875,2.182,0,0,1,0,1,0,0,0,1,4,44.68571428571428
0,45,1,1,4,36,4,3,0.0,6576.0,6576.0,0.0,1465.0,34,0.579,0.619,0,0,1,0,1,0,0,0,3,2,43.088235294117645
0,53,1,0,5,42,4,1,2037.0,2664.0,627.0,0.765,1286.0,29,0.85,0.933,0,0,1,0,1,0,0,0,3,4,44.3448275862069
0,45,0,3,5,28,1,2,2440.0,2535.0,95.0,0.963,1312.0,20,1.705,1.222,0,1,0,0,1,0,0,0,0,0,65.6
0,64,1,1,6,52,4,3,895.0,1709.0,814.0,0.524,1673.0,32,1.656,0.882,0,1,0,0,1,0,0,0,3,1,52.28125
0,45,1,3,5,35,4,2,1200.0,3454.0,2254.0,0.347,1313.0,30,0.597,0.304,0,1,0,0,1,0,0,0,3,2,43.766666666666666
0,53,1,3,5,35,3,2,1706.0,3789.0,2083.0,0.45,1609.0,42,1.047,0.68,0,1,0,0,1,0,0,0,5,2,38.30952380952381
0,56,1,3,3,50,2,0,2250.0,9689.0,7439.0,0.232,1158.0,19,0.576,0.727,0,1,0,0,1,0,0,0,2,5,60.94736842105263
1,47,1,2,2,37,3,3,1628.0,5449.0,3821.0,0.299,836.0,18,0.696,0.385,0,1,0,0,1,0,0,0,0,4,46.44444444444444
0,49,0,3,4,43,4,0,1960.0,23032.0,21072.0,0.085,1289.0,22,0.619,1.0,0,0,1,0,1,0,0,0,2,0,58.59090909090909
0,41,0,3,5,34,3,3,2053.0,34516.0,32463.0,0.059,1487.0,26,1.034,0.733,0,1,0,0,0,0,0,1,0,0,57.19230769230769
0,53,1,3,6,34,2,2,1264.0,2940.0,1676.0,0.43,1259.0,33,0.562,0.5,0,1,0,0,1,0,0,0,3,5,38.15151515151515
0,44,0,2,3,32,3,3,1879.0,3031.0,1152.0,0.62,1298.0,15,0.788,1.5,0,0,1,0,1,0,0,0,3,1,86.53333333333333
0,44,1,3,3,25,3,0,0.0,1862.0,1862.0,0.0,1226.0,34,0.883,0.789,0,0,0,1,1,0,0,0,1,3,36.05882352941177
0,43,0,4,2,33,3,3,926.0,8358.0,7432.0,0.111,1566.0,37,0.762,0.542,0,1,0,0,1,0,0,0,4,1,42.32432432432432
0,53,1,2,6,36,1,2,931.0,34516.0,33585.0,0.027,1022.0,21,0.828,1.1,0,0,1,0,1,0,0,0,4,5,48.666666666666664
0,44,1,1,5,36,2,3,2440.0,14450.0,12010.0,0.169,1235.0,30,1.283,0.667,0,1,0,0,1,0,0,0,0,3,41.166666666666664
0,62,0,1,6,56,0,0,0.0,1438.3,1438.3,0.0,1951.0,44,0.813,1.095,0,1,0,0,1,0,0,0,0,1,44.34090909090909
0,54,1,4,6,36,3,2,1960.0,33791.0,31831.0,0.058,1047.0,31,0.618,0.824,1,0,0,0,1,0,0,0,0,5,33.774193548387096
0,57,1,4,4,39,3,0,1886.0,8466.0,6580.0,0.223,1342.0,32,0.56,0.391,0,1,0,0,1,0,0,0,3,3,41.9375
0,42,1,3,5,36,3,3,865.0,15088.0,14223.0,0.057,1107.0,21,0.939,1.625,0,1,0,0,1,0,0,0,0,3,52.714285714285715
0,42,1,4,5,36,1,2,1674.0,3263.0,1589.0,0.513,1251.0,35,0.588,0.346,1,0,0,0,1,0,0,0,1,3,35.74285714285714
0,54,0,0,2,36,2,2,706.0,1494.0,788.0,0.473,1305.0,24,1.674,3.0,0,1,0,0,1,0,0,0,0,1,54.375
0,48,1,3,6,35,1,0,1294.0,13551.0,12257.0,0.095,1388.0,37,0.791,1.056,0,0,1,0,1,0,0,0,3,4,37.513513513513516
0,49,1,1,6,36,2,2,895.0,18886.0,17991.0,0.047,1235.0,18,1.826,1.571,0,0,1,0,1,0,0,0,3,4,68.61111111111111
0,52,1,3,3,48,2,0,1273.0,11976.0,10703.0,0.106,2089.0,36,1.024,1.118,0,0,0,1,1,0,0,0,1,4,58.02777777777778
0,50,1,3,4,39,1,4,1559.0,9964.0,8405.0,0.156,1626.0,25,1.873,0.786,0,0,1,0,1,0,0,0,1,4,65.04
0,49,1,1,4,36,6,3,1196.0,24159.0,22963.0,0.05,1111.0,24,0.712,1.0,0,1,0,0,1,0,0,0,5,3,46.291666666666664
0,53,0,2,3,44,2,3,1901.0,5362.0,3461.0,0.355,1553.0,38,0.816,1.0,0,1,0,0,1,0,0,0,1,1,40.86842105263158
0,50,1,2,3,36,2,2,1023.0,34516.0,33493.0,0.03,1064.0,13,1.004,0.625,0,0,1,0,1,0,0,0,3,5,81.84615384615384
0,55,0,1,4,36,1,0,1951.0,3174.0,1223.0,0.615,1243.0,29,0.766,0.611,0,1,0,0,1,0,0,0,5,1,42.86206896551724
0,53,1,1,3,47,2,2,1836.0,12262.0,10426.0,0.15,1659.0,38,1.584,1.533,0,1,0,0,1,0,0,0,1,4,43.6578947368421
0,47,0,3,4,41,3,3,1540.0,3788.0,2248.0,0.407,1594.0,47,0.566,0.382,0,0,1,0,1,0,0,0,1,2,33.91489361702128
0,55,1,2,2,42,3,2,1527.0,34516.0,32989.0,0.044,1268.0,42,0.526,0.355,0,0,1,0,0,0,0,1,2,5,30.19047619047619
0,47,1,3,4,36,2,2,0.0,2926.0,2926.0,0.0,1304.0,24,0.676,0.846,0,0,1,0,1,0,0,0,3,3,54.333333333333336
0,58,1,4,6,52,1,0,0.0,32090.0,32090.0,0.0,1368.0,30,0.567,0.364,0,0,1,0,1,0,0,0,3,5,45.6
1,53,1,2,3,41,3,2,2227.0,11669.0,9442.0,0.191,720.0,23,0.622,0.353,0,1,0,0,1,0,0,0,3,4,31.304347826086957
0,52,1,2,3,45,1,2,1300.0,13532.0,12232.0,0.096,1521.0,29,0.846,1.417,0,0,1,0,1,0,0,0,1,2,52.44827586206897
0,50,0,1,4,36,2,2,2090.0,11888.0,9798.0,0.176,1137.0,30,0.7,0.765,0,0,0,1,0,0,0,1,0,1,37.9
0,42,0,1,5,36,1,2,1985.0,2393.0,408.0,0.83,978.0,16,0.788,0.778,0,1,0,0,1,0,0,0,3,1,61.125
0,43,1,4,5,39,1,2,2517.0,6111.0,3594.0,0.412,1221.0,16,0.632,2.2,0,1,0,0,1,0,0,0,0,2,76.3125
0,57,1,4,3,46,2,3,1662.0,19270.0,17608.0,0.086,1565.0,28,1.186,1.545,0,1,0,0,1,0,0,0,3,4,55.892857142857146
0,52,1,1,3,43,1,4,2517.0,3710.0,1193.0,0.678,1578.0,34,1.541,0.7,0,1,0,0,1,0,0,0,3,4,46.411764705882355
0,47,1,2,2,37,1,3,797.0,3235.0,2438.0,0.246,1493.0,32,0.541,1.0,0,0,1,0,1,0,0,0,5,1,46.65625
0,44,0,3,3,38,1,0,788.0,11749.0,10961.0,0.067,1178.0,27,0.688,0.929,0,0,1,0,1,0,0,0,3,2,43.629629629629626
0,53,1,2,5,36,3,2,2100.0,7753.0,5653.0,0.271,991.0,26,0.839,0.733,1,0,0,0,1,0,0,0,1,3,38.11538461538461
0,45,1,4,5,40,1,0,1186.0,10408.0,9222.0,0.114,2560.0,42,1.689,1.211,1,0,0,0,1,0,0,0,2,3,60.95238095238095
0,63,0,1,6,36,2,3,1568.0,3967.0,2399.0,0.395,1657.0,29,1.236,1.231,0,1,0,0,1,0,0,0,2,0,57.13793103448276
0,39,0,2,4,27,2,2,2517.0,6205.0,3688.0,0.406,1204.0,19,0.939,0.727,0,0,1,0,1,0,0,0,4,1,63.36842105263158
1,48,0,5,1,38,3,3,0.0,8025.0,8025.0,0.0,673.0,18,0.654,0.8,0,1,0,0,1,0,0,0,1,1,37.388888888888886
0,51,1,1,6,42,2,3,2327.0,9036.0,6709.0,0.258,1131.0,18,0.649,0.636,0,0,1,0,1,0,0,0,0,5,62.833333333333336
0,54,1,4,2,34,3,2,2517.0,14926.0,12409.0,0.169,1576.0,25,1.996,1.5,0,1,0,0,1,0,0,0,3,4,63.04
0,59,0,1,3,36,2,3,1128.0,6335.0,5207.0,0.178,1217.0,20,0.397,0.667,0,0,1,0,1,0,0,0,3,1,60.85
1,59,1,1,2,53,3,3,0.0,14979.0,14979.0,0.0,530.0,10,0.71,1.0,0,0,1,0,1,0,0,0,2,3,53.0
1,48,0,4,3,38,2,3,0.0,2732.0,2732.0,0.0,739.0,16,0.76,0.455,0,1,0,0,1,0,0,0,0,1,46.1875
0,41,0,2,6,32,3,2,2117.0,2250.0,133.0,0.941,1617.0,31,1.162,2.875,0,0,1,0,1,0,0,0,3,1,52.16129032258065
0,55,1,2,3,50,2,0,1536.0,10916.0,9380.0,0.141,1592.0,34,1.317,1.0,0,1,0,0,1,0,0,0,3,5,46.8235294117647
0,47,0,4,4,36,1,3,1228.0,5349.0,4121.0,0.23,1343.0,30,0.728,1.308,0,1,0,0,1,0,0,0,3,0,44.766666666666666
0,41,1,2,4,24,1,3,1104.0,9366.0,8262.0,0.118,1303.0,39,0.572,0.625,0,1,0,0,1,0,0,0,1,4,33.41025641025641
0,40,1,3,5,28,1,0,0.0,21617.0,21617.0,0.0,1351.0,22,1.047,0.467,0,0,1,0,1,0,0,0,1,4,61.40909090909091
0,68,1,1,5,56,2,3,1652.0,13860.0,12208.0,0.119,1910.0,32,1.255,1.909,0,1,0,0,1,0,0,0,3,0,59.6875
0,50,0,1,2,31,2,3,0.0,18386.0,18386.0,0.0,1298.0,22,0.868,0.571,0,0,1,0,0,0,0,1,3,2,59.0
0,47,1,4,6,41,2,2,1540.0,2405.0,865.0,0.64,1087.0,29,0.469,1.231,0,0,1,0,1,0,0,0,0,3,37.48275862068966
0,53,0,1,4,47,2,3,930.0,2154.0,1224.0,0.432,1439.0,26,2.121,1.364,0,1,0,0,1,0,0,0,2,1,55.34615384615385
0,42,0,5,3,36,3,3,0.0,2038.0,2038.0,0.0,1238.0,28,0.786,0.75,0,1,0,0,1,0,0,0,0,2,44.214285714285715
0,48,0,4,6,38,1,3,0.0,8135.0,8135.0,0.0,1716.0,29,1.373,0.812,0,0,1,0,1,0,0,0,1,2,59.172413793103445
0,49,1,1,6,38,1,3,618.0,9364.0,8746.0,0.066,1099.0,27,0.554,0.8,0,1,0,0,1,0,0,0,5,5,40.7037037037037
0,44,0,2,4,35,3,2,0.0,32643.0,32643.0,0.0,1058.0,24,1.3,2.429,0,1,0,0,0,0,0,1,0,0,44.083333333333336
0,43,0,4,2,34,3,1,1954.0,3195.0,1241.0,0.612,1285.0,29,0.971,0.706,1,0,0,0,1,0,0,0,3,1,44.310344827586206
0,56,1,0,5,43,2,1,1024.0,2852.0,1828.0,0.359,1651.0,28,1.009,1.0,0,1,0,0,1,0,0,0,1,4,58.964285714285715
0,59,0,1,2,36,3,3,1305.0,4224.0,2919.0,0.309,1152.0,31,0.852,0.824,0,0,1,0,1,0,0,0,2,0,37.16129032258065
0,46,1,1,3,36,2,2,2071.0,20459.0,18388.0,0.101,1767.0,38,1.248,2.167,0,1,0,0,1,0,0,0,0,3,46.5
0,47,0,4,6,41,5,3,2114.0,3482.0,1368.0,0.607,1039.0,24,0.508,0.263,1,0,0,0,1,0,0,0,0,1,43.291666666666664
0,50,0,4,5,40,2,3,1570.0,3065.0,1495.0,0.512,1130.0,28,1.077,1.333,0,1,0,0,1,0,0,0,0,2,40.357142857142854
0,51,0,3,3,43,1,2,1761.0,2185.0,424.0,0.806,1645.0,30,0.682,0.429,0,1,0,0,1,0,0,0,0,1,54.833333333333336
0,47,0,3,4,36,1,0,746.0,1611.0,865.0,0.463,1413.0,29,0.993,0.706,0,1,0,0,1,0,0,0,0,1,48.724137931034484
0,58,0,4,3,47,3,3,2173.0,2822.0,649.0,0.77,1218.0,23,1.456,2.286,0,1,0,0,1,0,0,0,0,1,52.95652173913044
1,46,1,5,6,33,3,3,2517.0,32975.0,30458.0,0.076,597.0,17,0.658,0.7,0,0,1,0,1,0,0,0,3,4,35.11764705882353
0,53,1,3,5,47,2,2,0.0,1438.3,1438.3,0.0,2184.0,53,0.776,0.828,0,1,0,0,1,0,0,0,1,3,41.20754716981132
0,45,0,4,4,36,3,3,1719.0,15875.0,14156.0,0.108,1592.0,37,0.86,1.467,1,0,0,0,1,0,0,0,0,0,43.027027027027025
0,52,0,1,6,45,3,3,893.0,6703.0,5810.0,0.133,1388.0,28,0.567,0.75,0,1,0,0,1,0,0,0,1,1,49.57142857142857
1,53,1,2,2,36,2,1,0.0,3212.0,3212.0,0.0,757.0,20,0.713,0.25,0,1,0,0,1,0,0,0,0,4,37.85
0,50,1,2,3,45,1,3,1260.0,34516.0,33256.0,0.037,1504.0,34,0.588,0.789,0,1,0,0,0,0,0,1,1,4,44.23529411764706
0,41,0,3,4,36,1,2,1434.0,9797.0,8363.0,0.146,1503.0,34,0.644,0.478,0,1,0,0,1,0,0,0,1,2,44.205882352941174
0,45,0,5,5,36,2,2,1777.0,10400.0,8623.0,0.171,1105.0,28,0.791,0.867,1,0,0,0,1,0,0,0,3,2,39.464285714285715
0,53,1,3,2,42,1,2,1836.0,26792.0,24956.0,0.069,2398.0,47,1.432,0.88,0,1,0,0,1,0,0,0,0,4,51.02127659574468
